CTM_Average,CTM_Bad,CTM_Good,CA_Average,CA_Bad,CA_Good,AS_No,AS_Yes,LP_Average,LP_Bad,LP_Good,FES_No,FES_Yes,R_In_Dhaka_City,R_Outside_Dhaka_City,SH,SM,ECA_No,ECA_Yes,DA_No,DA_Yes,RS_NO,RS_Yes,FS_No,FS_Yes,FcS_No,FcS_Yes,PI_No,PI_Yes,RWF_Average,RWF_Bad,RWF_Good,JTF_No,JTF_Yes,LS,FYR
0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,2,6,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,3.14,3.18
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,6,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.23,3.24
0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1.69,2.16
1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2,5,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,2.79,2.16
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.06,2.6
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.61,2.92
0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,6.5,3.5,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.61,2.1
0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,10.5,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1.7,2.44
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,5.6,3.5,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.61,2.97
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,4,2,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.16,3.11
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.02,2.69
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3,4,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.8,3.06
1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,3,7,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,2.81,2.59
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,2.7,2.79
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,6,2,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,2.84,3.57
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,3.5,1.5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,3.57,2.1
1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,3,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1.6,3.45
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4.5,5.5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.73,2.85
1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,2.67,2.9
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.75,3.2
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,12,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.33,2.72
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1.5,3.5,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,2.91,1.77
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2.5,2,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,2.8,2.33
0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,5.5,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,2.63,3.02
0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,6,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.97,2.52
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,4,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,2.6,2.47
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,10,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2.54,2.28
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,7,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.5,2.86
0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,5,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,3.44,2.82
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,2.89,2.89
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,2.99,2.62
1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,4,2,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,2.11,2.72
1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,3.5,4,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,3.01,2.22
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,2,8,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1.96,2.32
0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,8,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,2.54,2.56
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,5,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,2.71,2.42
