CTM,CA,AS,LP,FES,Resi,ECA,DA,RS,FS,FcS,PI,RWF,JTF,SH,SM,LS,FYR
Good,Average,Yes,Good,No,In Dhaka City,Yes,No,No,Yes,No,No,Average,Yes,2,6,3.14,3.18
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,4,6,3.23,3.24
Good,Good,Yes,Good,No,Outside Dhaka City,No,Yes,No,No,Yes,Yes,Good,No,2,0,1.69,2.16
Average,Average,No,Average,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Average,Yes,2,5,2.79,2.16
Average,Good,Yes,Average,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,1,5,3.06,2.6
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,No,2,1,2.61,2.92
Good,Average,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,6.5,3.5,2.61,2.1
Bad,Bad,No,Bad,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Average,No,0,10.5,1.7,2.44
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,5.6,3.5,2.61,2.97
Average,Average,Yes,Average,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,4,2,3.16,3.11
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,1,5,3.02,2.69
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,Yes,3,4,2.8,3.06
Average,Good,Yes,Average,No,In Dhaka City,Yes,No,No,Yes,No,No,Good,Yes,3,7,2.81,2.59
Average,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,Yes,2,2,2.7,2.71
Average,Good,Yes,Average,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,Yes,6,2,2.84,3.57
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,No,3.5,1.5,3.57,2.1
